valid_time,u10,v10,t2m,tp,latitude,longitude
2020-01-12 10:00:00,-0.39215088,-0.21447754,302.18195,1.2397766e-05,10.75,106.25
2020-01-12 11:00:00,-1.2536469,1.2316589,301.12155,7.6293945e-05,10.75,106.25
2020-01-12 12:00:00,-1.9360504,2.5008698,300.1632,0.0001821518,10.75,106.25
2020-01-12 13:00:00,-1.7351074,3.1086426,299.93692,2.4795532e-05,10.75,106.25
2020-01-12 14:00:00,-1.2441711,2.9827576,299.07446,0.0,10.75,106.25
2020-01-12 15:00:00,-0.8407898,2.561325,298.78046,0.0,10.75,106.25
2020-01-12 16:00:00,-0.71147156,2.235199,298.76843,0.0,10.75,106.25
2020-01-12 17:00:00,-0.6482239,2.0593567,298.31332,0.0,10.75,106.25
2020-01-12 18:00:00,-0.47798157,1.8076782,297.84595,0.0,10.75,106.25
2020-01-12 19:00:00,-0.29667664,1.2138062,297.1062,0.0,10.75,106.25
2020-01-12 20:00:00,-0.21850586,1.3323059,296.08353,0.0,10.75,106.25
2020-01-12 21:00:00,0.023590088,0.8258667,296.92386,0.0,10.75,106.25
2020-01-12 22:00:00,0.06965637,-0.18170166,296.8058,0.0,10.75,106.25
2020-01-12 23:00:00,0.20291138,-0.94651794,297.02618,0.0,10.75,106.25
2020-01-13 00:00:00,0.14712524,-1.6021576,297.903,0.0,10.75,106.25
2020-01-13 01:00:00,-0.08477783,-2.2313843,298.45673,0.0,10.75,106.25
2020-01-13 02:00:00,-0.23345947,-2.9170685,300.84024,0.0,10.75,106.25
2020-01-13 03:00:00,-0.06286621,-3.3155365,301.47113,3.71933e-05,10.75,106.25
2020-01-13 04:00:00,-0.07620239,-3.3079987,302.3581,5.9127808e-05,10.75,106.25
2020-01-13 05:00:00,-0.22247314,-2.8067017,303.4519,5.722046e-06,10.75,106.25
2020-01-13 06:00:00,-0.43275452,-2.1709595,304.54068,0.0,10.75,106.25
2020-01-13 07:00:00,-0.52415466,-1.6199341,304.83997,0.0,10.75,106.25
2020-01-13 08:00:00,-0.69641113,-1.3093567,304.9164,0.0,10.75,106.25
2020-01-13 09:00:00,-0.8615265,-1.1752014,305.15936,0.0,10.75,106.25
2020-01-13 10:00:00,-0.85643005,-0.39648438,303.5509,0.0,10.75,106.25
2020-01-13 11:00:00,-1.49086,1.0636902,303.63306,0.0,10.75,106.25
2020-01-13 12:00:00,-1.3214264,2.026001,299.46088,0.0,10.75,106.25
2020-01-13 13:00:00,-1.8749084,3.1028748,300.12354,0.0,10.75,106.25
2020-01-13 14:00:00,-1.6645508,3.1449432,298.8507,0.0,10.75,106.25
2020-01-13 15:00:00,-1.2871399,2.918396,297.42682,0.0,10.75,106.25
2020-01-13 16:00:00,-0.8690033,2.3163757,296.96915,0.0,10.75,106.25
2020-01-13 17:00:00,-0.5278473,1.671463,296.64163,0.0,10.75,106.25
2020-01-13 18:00:00,-0.38771057,1.6379395,295.7489,0.0,10.75,106.25
2020-01-13 19:00:00,-0.12730408,1.6792908,295.16504,0.0,10.75,106.25
2020-01-13 20:00:00,0.05014038,1.4346924,294.8748,0.0,10.75,106.25
2020-01-13 21:00:00,-0.0690918,0.9421692,296.216,0.0,10.75,106.25
2020-01-13 22:00:00,-0.23669434,0.21455383,295.402,0.0,10.75,106.25
2020-01-13 23:00:00,-0.07510376,-0.7141876,294.94965,0.0,10.75,106.25
2020-01-14 00:00:00,0.1572876,-1.3179474,295.97925,0.0,10.75,106.25
2020-01-14 01:00:00,0.04345703,-1.4175873,297.65173,0.0,10.75,106.25
2020-01-14 02:00:00,0.031234741,-1.6030121,300.26706,0.0,10.75,106.25
